,rpersona,reduca
559,0051310571103,8.0
560,0051310571104,10.0
561,0051310571105,8.0
562,0051310681101,1.0
563,0051310681102,
564,0051310891101,0.0
565,0051310891102,0.0
566,0051310891103,11.0
567,0051311011101,16.0
568,0051311011102,7.0
569,0051311221101,9.0
570,0051311221102,11.0
571,0051311221103,9.0
572,0051311221104,0.0
573,0051320661101,0.0
574,0051320661102,0.0
575,0051320661103,0.0
576,0051320681101,0.0
577,0051320681102,0.0
578,0051320681103,0.0
579,0051320681104,1.0
580,0051320691101,0.0
581,0051320691102,10.0
582,0051321571101,2.0
583,0051321591101,17.0
584,0051321591102,8.0
585,0051321601101,11.0
586,0051321601102,10.0
587,0051321601103,3.0
588,0051321611101,8.0
589,0051321611102,11.0
590,0051321611103,0.0
591,0051321611104,
592,0051340011101,0.0
593,0051340011102,0.0
594,0051340011103,0.0
595,0051340011104,7.0
596,0051340011105,0.0
597,0051340021101,5.0
598,0051340021102,11.0
599,0051340021103,0.0
600,0051340031101,8.0
601,0051340031102,5.0
602,0051340031103,1.0
603,0051341281101,0.0
604,0051341281102,0.0
605,0051341281103,9.0
606,0051341281104,7.0
607,0051341291101,0.0
608,0051341371101,0.0
609,0051341371102,0.0
610,0051341371103,11.0
611,0051341371104,10.0
612,0051341371105,0.0
613,0051341371106,0.0
614,0051341371107,7.0
615,0051350021101,0.0
616,0051350021102,0.0
617,0051350021103,0.0
618,0051350021104,0.0
619,0051350201101,10.0
620,0051350201102,0.0
621,0051350301101,11.0
622,0051350301102,11.0
623,0051350301103,13.0
624,0051350481101,8.0
625,0051350481102,7.0
626,0051350481103,11.0
627,0051350481104,8.0
628,0051350481105,0.0
629,0051350481106,1.0
630,0051350581101,8.0
631,0051350581102,0.0
632,0051350581103,0.0
633,0051350581104,2.0
634,0051350581105,
635,0051350821101,0.0
636,0051350821102,0.0
637,0051350821103,11.0
638,0051350821104,8.0
639,0051350821105,0.0
640,0051350821106,0.0
641,0051350961101,0.0
642,0051350961102,7.0
643,0051350961103,13.0
644,0051350961104,9.0
645,0051350961105,0.0
646,0051370091101,7.0
647,0051370091102,0.0
648,0051370091103,0.0
649,0051370111101,0.0
650,0051370121101,0.0
651,0051370121102,0.0
652,0051370121103,7.0
653,0051370121104,0.0
654,0051370541101,5.0
655,0051370541102,7.0
656,0051370541103,11.0
657,0051370541104,0.0
658,0051370561101,
659,0051370561102,0.0
660,0051370561103,
661,0051370571101,5.0
662,0051370571102,11.0
663,0051370571103,0.0
664,0051370581101,0.0
665,0051370581102,0.0
666,0051370581103,8.0
667,0051370581104,0.0
668,0051370581105,0.0
669,0051370601101,0.0
670,0051370601102,11.0
671,0051370601103,9.0
672,0051370601105,0.0
673,0051380251101,
674,0051380251102,5.0
675,0051380251103,7.0
676,0051380281101,5.0
677,0051380281102,0.0
678,0051380281103,11.0
679,0051380281104,7.0
680,0051380281105,7.0
681,0051380281106,11.0
682,0051380281107,1.0
683,0051381111101,17.0
684,0051381111102,0.0
685,0051381111103,16.0
686,0051381111104,0.0
687,0051381111105,0.0
688,0051381181101,13.0
689,0051381181102,11.0
690,0051381181103,0.0
691,0051381191101,2.0
692,0051381191102,2.0
693,0051381191103,0.0
694,0051381191104,11.0
695,0051381201101,0.0
696,0051381201102,0.0
697,0051381201103,0.0
698,0051381201104,0.0
699,0051381201105,0.0
700,0051381201106,0.0
701,0051381201107,0.0
702,0051381201108,0.0
703,0051381211101,0.0
704,0051400261101,0.0
705,0051400261102,0.0
706,0051400261103,16.0
707,0051400261104,3.0
708,0051400261105,11.0
709,0051400271101,1.0
710,0051400271102,3.0
711,0051400271103,9.0
712,0051400281101,0.0
713,0051400281102,0.0
714,0051400281103,7.0
715,0051400281104,0.0
716,0051400281105,0.0
717,0051400881101,16.0
718,0051400881102,11.0
719,0051400881103,
720,0051400891101,0.0
721,0051400891102,0.0
722,0051400891103,0.0
723,0051400921101,0.0
724,0051400921102,0.0
725,0051400921103,0.0
726,0051400921104,3.0
727,0051400921105,2.0
728,0051400931101,0.0
729,0051400931102,0.0
730,0051400931103,3.0
731,0051400941101,0.0
732,0051810061101,11.0
733,0051810061102,0.0
734,0051810061103,11.0
735,0051810391101,16.0
